file,MDM/Profile,System/Logs,BugTypePriority,Comm/Energy,Apps/Finance/SNS,Journal/Shortcuts,External/UI Jack,Vendors,Vuln/Chip/FW,Flame
/mnt/data/work_2025-06-07/xp_extracted/Analytics-2025-06-07-070102.ips.ca.synced,0,3,7,0,0,7,2,0,0,237
/mnt/data/work_2025-06-07/xp_extracted/OTAUpdate-2025-06-07-00-29-13.ips,0,0,11,0,0,0,0,0,0,32
/mnt/data/work_2025-06-07/xp_extracted/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-06-07-011807.ips,0,218,14,0,0,0,0,0,0,440
/mnt/data/work_2025-06-07/xp_extracted/SiriSearchFeedback-2025-06-07-003857.ips,0,0,1,0,0,0,0,0,0,0
/mnt/data/work_2025-06-07/xp_extracted/SiriSearchFeedback-2025-06-07-010859.ips,0,0,1,0,0,0,0,0,0,0
/mnt/data/work_2025-06-07/xp_extracted/SiriSearchFeedback-2025-06-07-083536.ips,0,0,1,0,0,0,0,0,0,0
/mnt/data/work_2025-06-07/xp_extracted/SiriSearchFeedback-2025-06-07-084258.ips,0,0,1,0,0,0,0,0,0,0
/mnt/data/work_2025-06-07/xp_extracted/SiriSearchFeedback-2025-06-07-085919.ips,0,0,1,0,0,0,0,0,0,0
/mnt/data/work_2025-06-07/xp_extracted/xp_amp_app_usage_dnu-2025-06-07-140745.ips,0,0,1,0,3,0,0,2,0,29
/mnt/data/work_2025-06-07/H_extracted/{.84368154682.-[]}.pdf,0,0,0,0,0,0,0,0,0,3
"/mnt/data/work_2025-06-07/H_extracted/{.message.-.Successful.,.data.-[{.confirm_reg.-.Quý khách muốn đăng….pdf",0,0,1,0,1,0,0,0,0,2
"/mnt/data/work_2025-06-07/H_extracted/{.-[],.84372503446.-[],.84368154682.-[],.0368154682.-[],.0372503446….pdf",0,0,0,0,0,0,0,0,0,2
/mnt/data/work_2025-06-07/H_extracted/AudioClientLifeBOX.zip,0,0,0,0,0,0,0,0,0,0
/mnt/data/work_2025-06-07/H_extracted/DocumentClientLifeBOX.zip,0,0,0,0,0,0,0,0,0,0
/mnt/data/work_2025-06-07/H_extracted/Media.zip,0,0,0,0,0,0,0,0,0,0
/mnt/data/work_2025-06-07/H_extracted/My-Viettel-App-MDM.pdf,0,0,93,0,6,0,0,5,0,8
/mnt/data/work_2025-06-07/H_extracted/steChat.data,0,0,0,0,0,0,0,0,0,1
/mnt/data/work_2025-06-07/H_extracted/viettel.der,0,0,0,0,0,0,0,5,0,0
/mnt/data/work_2025-06-07/T_extracted/____________.csv,0,0,0,0,0,0,0,2,0,0
/mnt/data/work_2025-06-07/T_extracted/history_search.txt,0,0,0,0,0,0,0,0,0,0
/mnt/data/work_2025-06-07/T_extracted/viettel.der,0,0,0,0,0,0,0,5,0,0
/mnt/data/work_2025-06-07/T_extracted/viettel.zip,0,0,0,0,0,0,0,2,0,0
/mnt/data/work_2025-06-07/T_extracted/不正証拠/_____________csv__preview_.csv,0,0,0,0,0,0,0,2,0,0
/mnt/data/work_2025-06-07/T_extracted/不正証拠/viettel_bundle_analysis_report.txt,0,0,0,0,0,0,0,3,0,0
